root_symbol,expiration_date,strike,put_call,undly_symbol,start_date,end_date,implied_volatility_1545,trade_volume,open_interest,implied_underlying_price_1545,active_underlying_price_1545
SPXW,1/10/2014,1300,c,^SPX,12/5/2013,1/10/2014,0.8676,0,0,1845.19,1845.19
SPXW,1/10/2014,1300,p,^SPX,12/5/2013,1/10/2014,0.6455,0,2364,1845.19,1845.19
SPXW,1/10/2014,1325,c,^SPX,12/5/2013,1/10/2014,0.8247,0,0,1845.19,1845.19
SPXW,1/10/2014,1325,p,^SPX,12/5/2013,1/10/2014,0.6128,350,139,1845.19,1845.19
SPXW,1/10/2014,1350,c,^SPX,12/5/2013,1/10/2014,0.7911,0,0,1845.19,1845.19
SPXW,1/10/2014,1350,p,^SPX,12/5/2013,1/10/2014,0.5855,419,65,1845.19,1845.19
SPXW,1/10/2014,1375,c,^SPX,12/5/2013,1/10/2014,0.7492,0,0,1845.19,1845.19
SPXW,1/10/2014,1375,p,^SPX,12/5/2013,1/10/2014,0.62,35,143,1845.19,1845.19
SPXW,1/10/2014,1400,c,^SPX,12/5/2013,1/10/2014,0.7078,0,0,1845.19,1845.19
SPXW,1/10/2014,1400,p,^SPX,12/5/2013,1/10/2014,0.5841,61,3100,1845.19,1845.19
SPXW,1/10/2014,1410,c,^SPX,12/5/2013,1/10/2014,0.6987,0,0,1845.19,1845.19
SPXW,1/10/2014,1410,p,^SPX,12/5/2013,1/10/2014,0.5835,100,10,1845.19,1845.19
SPXW,1/10/2014,1420,c,^SPX,12/5/2013,1/10/2014,0.6823,0,0,1845.19,1845.19
SPXW,1/10/2014,1420,p,^SPX,12/5/2013,1/10/2014,0.589,7,162,1845.19,1845.19
SPXW,1/10/2014,1425,c,^SPX,12/5/2013,1/10/2014,0.6741,0,0,1845.19,1845.19
SPXW,1/10/2014,1425,p,^SPX,12/5/2013,1/10/2014,0.5727,330,251,1845.19,1845.19
SPXW,1/10/2014,1430,c,^SPX,12/5/2013,1/10/2014,0.6659,0,0,1845.19,1845.19
SPXW,1/10/2014,1430,p,^SPX,12/5/2013,1/10/2014,0.5656,322,167,1845.19,1845.19
SPXW,1/10/2014,1440,c,^SPX,12/5/2013,1/10/2014,0.6497,0,0,1845.19,1845.19
SPXW,1/10/2014,1440,p,^SPX,12/5/2013,1/10/2014,0.5603,16,108,1845.19,1845.19
SPXW,1/10/2014,1450,c,^SPX,12/5/2013,1/10/2014,0.6335,0,0,1845.19,1845.19
SPXW,1/10/2014,1450,p,^SPX,12/5/2013,1/10/2014,0.5374,1100,196,1845.19,1845.19
SPXW,1/10/2014,1455,c,^SPX,12/5/2013,1/10/2014,0.6317,0,0,1845.19,1845.19
SPXW,1/10/2014,1455,p,^SPX,12/5/2013,1/10/2014,0.5389,220,143,1845.19,1845.19
SPXW,1/10/2014,1460,c,^SPX,12/5/2013,1/10/2014,0.6236,0,0,1845.19,1845.19
SPXW,1/10/2014,1460,p,^SPX,12/5/2013,1/10/2014,0.5139,0,171,1845.19,1845.19
SPXW,1/10/2014,1465,c,^SPX,12/5/2013,1/10/2014,0.6155,0,0,1845.19,1845.19
SPXW,1/10/2014,1465,p,^SPX,12/5/2013,1/10/2014,0.5159,168,157,1845.19,1845.19
SPXW,1/10/2014,1470,c,^SPX,12/5/2013,1/10/2014,0.6075,0,0,1845.19,1845.19
SPXW,1/10/2014,1470,p,^SPX,12/5/2013,1/10/2014,0.5178,210,114,1845.19,1845.19
SPXW,1/10/2014,1475,c,^SPX,12/5/2013,1/10/2014,0.5994,0,0,1845.19,1845.19
SPXW,1/10/2014,1475,p,^SPX,12/5/2013,1/10/2014,0.5107,11002,263,1845.19,1845.19
